basis,method,registry,distance,energy,energy_err
bn,DFT-D3,0.33333,5.5,-165.00513822539062,0.0
bn,DFT-D3,0.33333,6.0,-165.00372724793138,0.0
bn,DFT-D3,0.33333,6.5,-165.00290458024836,0.0
bn,DFT-D3,0.33333,7.0,-165.0024323609709,0.0
bn,DFT-D3,0.33333,8.0,-165.00200806771537,0.0
bn,DFT-D3,0.33333,9.0,-165.001857214694,0.0
bn,DFT-D3,0.33333,11.0,-165.00176374364491,0.0
bn,DFT-D3,0.66667,2.6,-164.90413700845818,0.0
bn,DFT-D3,0.66667,2.7,-164.93898762788209,0.0
bn,DFT-D3,0.66667,2.8,-164.96487091105263,0.0
bn,DFT-D3,0.66667,2.9,-164.98370828667854,0.0
bn,DFT-D3,0.66667,3.0,-164.9970795787574,0.0
bn,DFT-D3,0.66667,3.1,-165.0063013753158,0.0
bn,DFT-D3,0.66667,3.2,-165.01241985141056,0.0
bn,DFT-D3,0.66667,3.3,-165.01626042987587,0.0
bn,DFT-D3,0.66667,3.4,-165.0184683262612,0.0
bn,DFT-D3,0.66667,3.5,-165.01951984154914,0.0
bn,DFT-D3,0.66667,3.6,-165.01977678489146,0.0
bn,DFT-D3,0.66667,3.7,-165.01947902449712,0.0
bn,DFT-D3,0.66667,3.8,-165.01868244571313,0.0
bn,DFT-D3,0.66667,3.9,-165.01794477954087,0.0
bn,DFT-D3,0.66667,4.0,-165.01691652997258,0.0
bn,DFT-D3,0.66667,4.2,-165.01465985721012,0.0
bn,DFT-D3,0.66667,4.5,-165.01153102608905,0.0
bn,DFT-D3,0.66667,5.0,-165.00755636360793,0.0
bn,DFT-D3,0.66667,5.5,-165.0051378172201,0.0
bn,DFT-D3,0.66667,6.0,-165.00372755405928,0.0
bn,DFT-D3,0.66667,6.5,-165.00290352580782,0.0
bn,DFT-D3,0.66667,7.0,-165.00243317731193,0.0
bn,DFT-D3,0.66667,8.0,-165.00200847588587,0.0
bn,DFT-D3,0.66667,9.0,-165.00185701060877,0.0
bn,DFT-D3,0.66667,11.0,-165.00176217899127,0.0
